sample,model_label,outcome,term,coef,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,p_value_reference,se_method,r2_within
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_35,3.2585676540042687,0.6607905517721724,4.9313169585508225,6.991527733008705e-06,1.9363288140237558,4.580806493984782,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_36,1.5414976694299856,0.6220543974077966,2.4780753513738687,0.016090389789558377,0.2967696952975023,2.786225643562469,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_37,1.7571707716345422,0.7598986488838878,2.312375175578233,0.024264684308082544,0.23661708740236342,3.277724455866721,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_38,5.239769045711458,0.6386871601465893,8.203968034223271,2.4748049268019443e-11,3.961758990213811,6.517779101209104,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_39,5.9075722504104675,0.6847694103717568,8.627097181813781,4.801940208504232e-12,4.537351825200354,7.277792675620581,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_40,5.261992580124661,0.6321713719632162,8.323680592785271,1.5547220708101354e-11,3.997020586666547,6.5269645735827755,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_41,4.096351169181108,0.6463622907172242,6.337546648390743,3.537087693770739e-08,2.802983212885397,5.389719125476818,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_42,3.8893778645692674,0.6464000044197965,6.016983041422381,1.2119425847343435e-07,2.595934443329019,5.182821285809515,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_43,0.4337344971945988,0.8423747251264692,0.5148949561959857,0.6085501218192619,-1.2518534344018408,2.119322428791038,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_44,5.38678799238416,0.5511719235049909,9.77333525649984,6.026570666129846e-14,4.283895520918653,6.489680463849666,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_45,-1.8203242706479343,0.778188607244124,-2.3391813420327856,0.022731833880569118,-3.3774760770243724,-0.2631724642714963,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_46,-0.1477888810152352,0.6145434704846524,-0.2404856419655444,0.8107874666889268,-1.3774875250893484,1.0819097630588779,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_47,2.182313966602027,0.7868924321926641,2.7733320048853964,0.0074158925022676965,0.6077458467318706,3.7568820864721832,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_48,5.5875297046950205,0.62972985997009,8.872899412710728,1.861573211356291e-12,4.327443165450699,6.847616243939342,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_49,4.5427527182352225,0.6017503224608438,7.5492318801886835,3.1733698071540747e-10,3.3386531042279497,5.746852332242495,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_50,-1.791140150603379,0.9054176645684316,-1.978247410776029,0.052576192140840125,-3.602876712644284,0.020596411437525886,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_51,1.3786617007382502,0.8917404491900566,1.5460347256765699,0.12744367025899478,-0.4057068165454085,3.163030218021909,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_52,4.376097251772374,0.6431377720106914,6.804292085179576,5.796146124082028e-09,3.0891815425049947,5.663012961039754,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_53,-0.08034233278191712,0.8118784436350646,-0.09895857367784802,0.9215066220031068,-1.7049073460651771,1.544222680501343,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_54,3.4352642164131066,0.7394742425464953,4.645549525272492,1.946697245576718e-05,1.9555796748622472,4.914948757963966,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_55,3.4280302391829562,0.6971370802747768,4.917297237771081,7.355529790977622e-06,2.0330621636591784,4.822998314706734,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_56,3.696521595355462,0.6399372469908338,5.7763813760451574,3.029775714285673e-07,2.416010121860274,4.97703306885065,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_57,2.410688566915043,0.6611843056319818,3.646016014567719,0.000564630818858717,1.0876618272809468,3.733715306549139,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_58,2.309976646978496,0.7146131518649965,3.2324854936547442,0.002010247998209008,0.8800390329755488,3.7399142609814433,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_59,2.7703060660766017,0.701855452682908,3.9471176799821786,0.00021318225730929021,1.365896549172054,4.1747155829811495,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_60,1.9953388029722137,0.8285547165921546,2.408216093656484,0.019174212803254664,0.33740464457807784,3.6532729613663495,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_61,5.32089750153279,0.642479511821746,8.28181662391914,1.82902898707656e-11,4.03529896786107,6.60649603520451,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_62,5.531075871020018,0.6102661533981236,9.06338298498372,8.958809837368633e-13,4.309936118666667,6.7522156233733694,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_63,4.811446019895915,0.5632945702325767,8.541616188328133,6.68240515954874e-12,3.6842961883583123,5.938595851433519,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_64,4.651092415907367,0.6205689863433537,7.494883757104116,3.9233081976522997e-10,3.409336742449396,5.892848089365339,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_65,1.982038948705655,0.651121330247498,3.044039346633386,0.003483812425389879,0.679148176305727,3.284929721105583,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_66,-0.34471898841862997,0.6774646599342763,-0.5088368571905619,0.6127642287119706,-1.7003226417652566,1.0108846649279968,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_67,-0.17565617725849178,0.7496036884531425,-0.23433206101342707,0.8155384840751083,-1.6756096932511475,1.324297338734164,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_68,4.411572483524206,0.6555781746644996,6.729285162340683,7.758409669970802e-09,3.0997635860449995,5.723381381003413,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_69,4.046254614576107,0.6239844005871142,6.4845445026653525,2.004345288348573e-08,2.797664713002113,5.2948445161501,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_70,4.782962567627783,0.6055467209011417,7.898585530295728,8.122686726023519e-11,3.571266377888093,5.994658757367474,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_71,5.73614285371461,0.641014092914122,8.948544060298987,1.3918782144341332e-12,4.453476616504009,7.018809090925211,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_72,6.110841264570316,0.6534321389789096,9.35191414692192,2.975232886125635e-13,4.803326574579187,7.418355954561444,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_73,5.927907998223532,0.6417043182394905,9.237756128066412,4.598007534265678e-13,4.643860623327028,7.211955373120035,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_74,4.99041168950046,0.6899877415608954,7.232609202898466,1.0920684155599144e-09,3.609749407699547,6.3710739713013735,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_75,0.38131387848786735,0.9185347337676284,0.41513278101504264,0.6795504985182028,-1.4566698783946943,2.2192976353704292,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_76,5.951803309547032,0.6279470863048832,9.478192413583859,1.840685397632201e-13,4.6952840921669665,7.208322526927098,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_78,1.2082884902579214,0.7536005407312888,1.6033540648543148,0.11419707511531786,-0.2996627086702066,2.7162396891860494,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_79,1.5752364560026542,0.8096712933111538,1.9455258807073654,0.05648095449172443,-0.0449120596837147,3.1953849716890232,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_80,-1.105170234897507,0.869759061571325,-1.270662513019276,0.20883633313975744,-2.8455540971521174,0.6352136273571032,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_81,0.8136228764359388,0.873964031641984,0.9309569352726363,0.35566962129033963,-0.9351751114950595,2.562420864366937,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_82,4.402519558089979,0.6260452412019332,7.032270622547438,2.385614884865196e-09,3.1498059239707565,5.655233192209202,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_83,4.239513880939197,0.6388655719456388,6.636003045253999,1.1144887753831595e-08,2.9611468242562564,5.517880937622137,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_84,4.617840290173038,0.9621088914003124,4.799706490033524,1.1235873813182117e-05,2.6926648452633857,6.54301573508269,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_85,5.101896159336291,0.8208558538790258,6.21533748614551,5.6635638192888323e-08,3.459367389647662,6.74442492902492,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_86,3.1102398173026597,0.6412288769431879,4.850436293713927,9.363258809295365e-06,1.8271437982426104,4.393335836362709,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_87,5.827327421108499,0.7413574554615446,7.860347769053725,9.428072597661194e-11,4.343874579218669,7.310780262998328,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_88,4.393765477796256,0.6994611769098594,6.281643103063155,4.387766403549318e-08,2.9941468956474475,5.793384059945065,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_89,3.4172001420876774,0.8454650656293654,4.041799337437921,0.00015572183727858527,1.7254284534282236,5.108971830747131,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_90,5.581614351905704,0.6712569692926474,8.315167822819715,1.6069385522335427e-11,4.238432258841578,6.92479644496983,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_91,2.5434270799988137,0.7328227814533326,3.4707259986578127,0.000977078571249567,1.0770520813529068,4.009802078644721,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_92,1.2424011044388892,0.7004594900172136,1.7736944422130072,0.08127430866642343,-0.15921509762362018,2.6440173065013983,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_93,0.9042600304228783,0.7931694527850259,1.140059072179071,0.25886877702164884,-0.6828683786407588,2.4913884394865153,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_94,5.501676186092221,0.576498084656122,9.543268802660362,1.4379861345673529e-13,4.348106183218583,6.65524618896586,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_95,4.083506402142067,0.6571128518701547,6.214315228381756,5.685874566520792e-08,2.768626622667487,5.398386181616647,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_96,3.847815309914806,0.64675520938063,5.949415256507474,1.5688072772588646e-07,2.553661125189656,5.141969494639956,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_97,2.6330689540245777,0.6513930118365836,4.042212468016377,0.00015550737170063396,1.3296345480205778,3.9365033600285777,183277,60,"Student t, df=59",clustered by reporter_code,0.3652975537269785
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_product_loo_gini_sum_z,0.0003549109567984549,0.002095657170816581,0.16935544694085747,0.866096388823921,-0.0038384893560630576,0.004548311269659967,183277,60,"Student t, df=59",clustered by reporter_code,0.12403089424857905
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_import_value_share_z,0.0042323368746342415,0.0026849259608331807,1.5763328063321609,0.12029646040773428,-0.0011401875635021538,0.009604861312770637,183277,60,"Student t, df=59",clustered by reporter_code,0.12403089424857905
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_02,-0.19546715409785206,0.027119870218649283,-7.207525424050034,1.204363319503109e-09,-0.24973388905972294,-0.1412004191359812,183277,60,"Student t, df=59",clustered by reporter_code,0.12403089424857905
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_03,-0.11699744037134521,0.026437949257261728,-4.425359895840236,4.2155480891700584e-05,-0.16989965464125806,-0.06409522610143235,183277,60,"Student t, df=59",clustered by reporter_code,0.12403089424857905
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_04,-0.11888743292919794,0.024537576470617724,-4.845117164344185,9.544284512616414e-06,-0.16798701003639144,-0.06978785582200445,183277,60,"Student t, df=59",clustered by reporter_code,0.12403089424857905
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_05,-0.11823106482621602,0.02730660346737488,-4.329760930079605,5.867022554892014e-05,-0.17287145215572222,-0.06359067749670982,183277,60,"Student t, df=59",clustered by reporter_code,0.12403089424857905
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_06,-0.018605213363915827,0.018825557323565615,-0.988295488103613,0.327043786481775,-0.05627506655830636,0.0190646398304747,183277,60,"Student t, df=59",clustered by reporter_code,0.12403089424857905
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_07,-0.12064276926023454,0.025263930570575067,-4.775296897021532,1.226300081643797e-05,-0.17119577756429813,-0.07008976095617095,183277,60,"Student t, df=59",clustered by reporter_code,0.12403089424857905
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_08,-0.1303438969522324,0.028917977691904843,-4.507365568261028,3.167068079057475e-05,-0.1882086366573936,-0.07247915724707119,183277,60,"Student t, df=59",clustered by reporter_code,0.12403089424857905
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_09,-0.11743870367878978,0.02650926471791917,-4.430100379185774,4.1466802688271034e-05,-0.1704836198558644,-0.06439378750171515,183277,60,"Student t, df=59",clustered by reporter_code,0.12403089424857905
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_10,0.11356932997500106,0.021036894992775716,5.39857854564573,1.2544053188466626e-06,0.07147460032512865,0.15566405962487348,183277,60,"Student t, df=59",clustered by reporter_code,0.12403089424857905
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_11,0.12254588274211811,0.020634741150734805,5.938813666085375,1.6335543532610862e-07,0.08125586107145,0.16383590441278623,183277,60,"Student t, df=59",clustered by reporter_code,0.12403089424857905
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_12,0.12403385884653224,0.02019898122860608,6.140599738311245,7.54744405258903e-08,0.08361579076599981,0.16445192692706467,183277,60,"Student t, df=59",clustered by reporter_code,0.12403089424857905
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_13,0.056139914467170954,0.030031200558459568,1.869386285702679,0.06653439665612741,-0.003952379048748435,0.11623220798309034,183277,60,"Student t, df=59",clustered by reporter_code,0.12403089424857905
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_14,0.04421297792737704,0.031894379493141306,1.3862310109179197,0.1708930720475368,-0.019607528025391938,0.10803348388014601,183277,60,"Student t, df=59",clustered by reporter_code,0.12403089424857905
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_15,0.12789545662069257,0.02073538828459457,6.16797982585708,6.794260452094042e-08,0.08640404050035322,0.16938687274103192,183277,60,"Student t, df=59",clustered by reporter_code,0.12403089424857905
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_16,0.10177842229149453,0.025965954555242962,3.9196872995737317,0.00023333305435357135,0.04982066723880337,0.15373617734418568,183277,60,"Student t, df=59",clustered by reporter_code,0.12403089424857905
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_17,0.12417201302282709,0.020564289938975897,6.038234891226732,1.1173182759308435e-07,0.08302296390126926,0.1653210621443849,183277,60,"Student t, df=59",clustered by reporter_code,0.12403089424857905
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_18,0.09546666583506783,0.024985994051108622,3.820807194614376,0.00032229503153464344,0.045469807221858526,0.14546352444827712,183277,60,"Student t, df=59",clustered by reporter_code,0.12403089424857905
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_19,0.13067413527683083,0.020641878562307026,6.330535027729866,3.634058993075363e-08,0.08936983167859519,0.17197843887506647,183277,60,"Student t, df=59",clustered by reporter_code,0.12403089424857905
