model_label,sample,flow,dimension,metric,outcome,row_type,label,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,threshold_percentile,threshold_log_exports,threshold_exports_constant_2015_usd,exploratory,bh_q_value
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,gini,partner_gini,difference,above_minus_below,above_minus_below_growth_slope,-0.005391604723459648,0.011403669900806171,-0.4727955798754306,0.6381966297805007,-0.028235900613054442,0.017452691166135147,1749,57,0.7692982175152924,ok,1887,138,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,0.9824144107236605
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,slope,below_threshold,prior_export_growth_below_threshold,0.024599017621136546,0.02416416665911814,1.0179956945403006,0.3130580325278162,-0.023807624967435055,0.07300566020970814,1743,57,0.878789717395549,ok,1887,144,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,slope,above_threshold,prior_export_growth_above_threshold,0.045982949791837154,0.03530032924244564,1.302620989057138,0.19803577578421458,-0.0247321071353662,0.11669800671904051,1743,57,0.878789717395549,ok,1887,144,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,difference,above_minus_below,above_minus_below_growth_slope,0.021383932170700608,0.03555496241085108,0.6014331255255219,0.5499785896509459,-0.04984121628782177,0.09260908062922299,1743,57,0.878789717395549,ok,1887,144,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,0.9693210704287721
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,slope,below_threshold,prior_export_growth_below_threshold,-0.001578513028153053,0.018645594641675815,-0.0846587657024802,0.9328346127814429,-0.038930127441489736,0.03577310138518363,1743,57,0.9121365103610608,ok,1887,144,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,slope,above_threshold,prior_export_growth_above_threshold,0.020723782230104355,0.021032421515232276,0.985325546803805,0.3287023563697897,-0.021409220965180997,0.06285678542538971,1743,57,0.9121365103610608,ok,1887,144,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,difference,above_minus_below,above_minus_below_growth_slope,0.02230229525825741,0.02749285207573737,0.8112034065006787,0.42068335649937816,-0.03277250549712092,0.07737709601363574,1743,57,0.9121365103610608,ok,1887,144,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,0.9693210704287721
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,top_1pct_share,partner_top_1pct_share,slope,below_threshold,prior_export_growth_below_threshold,0.14600667818663188,0.044976043217484094,3.246321102116713,0.001976188838719621,0.055908837040706094,0.23610451933255766,1749,57,0.7546777077854724,ok,1887,138,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,top_1pct_share,partner_top_1pct_share,slope,above_threshold,prior_export_growth_above_threshold,0.06772580276107633,0.03910929184323689,1.731706189734756,0.08883177226547372,-0.01061952314460074,0.1460711286667534,1749,57,0.7546777077854724,ok,1887,138,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,top_1pct_share,partner_top_1pct_share,difference,above_minus_below,above_minus_below_growth_slope,-0.07828087542555555,0.0439158515327716,-1.7825198121716828,0.08008555235092361,-0.16625489741888133,0.009693146567770247,1749,57,0.7546777077854724,ok,1887,138,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,0.6963352083290884
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,top_5pct_share,partner_top_5pct_share,slope,below_threshold,prior_export_growth_below_threshold,0.07339787711521369,0.023773699071505477,3.0873561953674438,0.003138659854799691,0.025773435097538072,0.1210223191328893,1749,57,0.752982751668048,ok,1887,138,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,top_5pct_share,partner_top_5pct_share,slope,above_threshold,prior_export_growth_above_threshold,0.05920154921327252,0.029443448512015007,2.0106866622336748,0.049183009115204644,0.00021923425070326935,0.11818386417584176,1749,57,0.752982751668048,ok,1887,138,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,top_5pct_share,partner_top_5pct_share,difference,above_minus_below,above_minus_below_growth_slope,-0.01419632790194117,0.03186655741396988,-0.44549298870036347,0.6576810293967428,-0.07803271328310918,0.04964005747922684,1749,57,0.752982751668048,ok,1887,138,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,0.9824144107236605
exploratory_export_level_threshold_scan,rd2_countries,Imports,product,gini,product_gini,slope,below_threshold,prior_export_growth_below_threshold,0.003177871664993918,0.00575471179342978,0.5522208199239674,0.5829944275883812,-0.00835020132483868,0.014705944654826516,1746,57,0.8999258964739825,ok,1892,146,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,
exploratory_export_level_threshold_scan,rd2_countries,Imports,product,gini,product_gini,slope,above_threshold,prior_export_growth_above_threshold,-0.005458735281145578,0.00957060066942672,-0.570364961374212,0.5707116933051877,-0.02463095224597388,0.013713481683682725,1746,57,0.8999258964739825,ok,1892,146,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,
exploratory_export_level_threshold_scan,rd2_countries,Imports,product,gini,product_gini,difference,above_minus_below,above_minus_below_growth_slope,-0.008636606946139496,0.010011534713909177,-0.8626656344846437,0.39200077882135476,-0.028692120943201338,0.011418907050922347,1746,57,0.8999258964739825,ok,1892,146,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,0.9693210704287721
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,gini,partner_gini,slope,below_threshold,prior_export_growth_below_threshold,-0.001395577687472508,0.006521508198831035,-0.21399615624537008,0.8313273320956512,-0.014459728459671079,0.011668573084726063,1752,57,0.8261528210774522,ok,1892,140,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,gini,partner_gini,slope,above_threshold,prior_export_growth_above_threshold,0.010804895411849737,0.008856309419263197,1.2200223479487071,0.22756947269935243,-0.006936424235534248,0.028546215059233722,1752,57,0.8261528210774522,ok,1892,140,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,gini,partner_gini,difference,above_minus_below,above_minus_below_growth_slope,0.012200473099322245,0.008771642771688294,1.3908994491546076,0.1697581587889585,-0.005371238872111352,0.029772185070755842,1752,57,0.8261528210774522,ok,1892,140,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",35,24.221387055378106,33053293667.13643,True,0.9166940574603759
