model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference
average_population_year_fe,rd2_countries,Exports,product,gini,product_gini,log_gdp_per_capita,-0.014613606442418867,0.002260822665608071,-6.4638446282067825,2.171471716776698e-08,-0.019137502146977813,-0.01008971073785992,1878,60,0.4495316790908508,ok,1887,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,partner,gini,partner_gini,baseline_log_population,-0.004323438236284082,0.0019526217943141662,-2.214170838855476,0.030693661775709872,-0.008230625421861149,-0.00041625105070701614,1887,60,0.10465380774777522,ok,1887,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,partner,gini,partner_gini,log_gdp_per_capita,0.0036416896563000968,0.0019065618775309017,1.9100820693091154,0.06098724661757312,-0.00017333184867852685,0.007456711161278721,1887,60,0.10465380774777522,ok,1887,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,partner,gini,partner_gini,average_log_population,-0.004091789314548858,0.002007463889768299,-2.0382878792510337,0.04601140755403109,-0.00810871527965432,-7.486334944339576e-05,1887,60,0.09948015947033562,ok,1887,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,partner,gini,partner_gini,log_gdp_per_capita,0.0035472933295713446,0.0019389933079166568,1.8294510430171207,0.07238630117589107,-0.00033262331771396645,0.007427209976856655,1887,60,0.09948015947033562,ok,1887,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,baseline_log_population,-0.04074682642401237,0.008752533758877542,-4.655432077903564,1.879689580495715e-05,-0.05826060602208786,-0.023233046825936875,1878,60,0.3655170353546,ok,1887,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,log_gdp_per_capita,-0.05344390244472102,0.00905462709604599,-5.902385805381109,1.876877549031632e-07,-0.07156216941422183,-0.035325635475220205,1878,60,0.3655170353546,ok,1887,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,average_log_population,-0.03808343276590722,0.008848994178589472,-4.303701866823661,6.416770317095526e-05,-0.05579022921799474,-0.020376636313819703,1878,60,0.3468200043436993,ok,1887,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,log_gdp_per_capita,-0.05437809843762605,0.009261777355869538,-5.871237922078164,2.1131801887463598e-07,-0.07291087211960356,-0.035845324755648535,1878,60,0.3468200043436993,ok,1887,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,baseline_log_population,-0.03353401086330141,0.005720941939506818,-5.861624050355641,2.1918995867190116e-07,-0.044981589242565886,-0.02208643248403694,1878,60,0.4700268577362493,ok,1887,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,log_gdp_per_capita,-0.03822082423294142,0.005403207783359221,-7.073728378659389,2.029590051402461e-09,-0.04903261803429377,-0.027409030431589064,1878,60,0.4700268577362493,ok,1887,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,average_log_population,-0.03193138665184015,0.00581438455394372,-5.491791324703844,8.855417447429089e-07,-0.04356594327070935,-0.020296830032970954,1878,60,0.4477569183715634,ok,1887,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,log_gdp_per_capita,-0.03909326635532349,0.0055528503260358275,-7.0402161160414565,2.312860515907262e-09,-0.050204494192937106,-0.02798203851770987,1878,60,0.4477569183715634,ok,1887,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,partner,top_1pct_share,partner_top_1pct_share,baseline_log_population,-0.0026352016179823027,0.009157570046607146,-0.28776210332768765,0.7745372459979849,-0.020959456955762762,0.015689053719798153,1887,60,0.01848537804911099,ok,1887,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,partner,top_1pct_share,partner_top_1pct_share,log_gdp_per_capita,0.009011058081538844,0.00894455045237235,1.0074355474342318,0.3178394546832092,-0.00888694603273555,0.026909062195813238,1887,60,0.01848537804911099,ok,1887,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,partner,top_1pct_share,partner_top_1pct_share,average_log_population,0.00012125146848549752,0.009095036466644859,0.013331608831935442,0.9894082090981502,-0.018077874464815114,0.018320377401786107,1887,60,0.017665126821317156,ok,1887,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,partner,top_1pct_share,partner_top_1pct_share,log_gdp_per_capita,0.00941864703019236,0.009107603064303563,1.0341521214410305,0.3052854248019272,-0.008805624606941611,0.02764291866732633,1887,60,0.017665126821317156,ok,1887,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,partner,top_5pct_share,partner_top_5pct_share,baseline_log_population,-0.012765827361263167,0.005937623596379979,-2.149989327219424,0.03566615728145473,-0.02464698473444734,-0.000884669988078993,1887,60,0.09284575255323624,ok,1887,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,partner,top_5pct_share,partner_top_5pct_share,log_gdp_per_capita,0.009721149319621168,0.005891042080339209,1.6501578476352388,0.10422495575202946,-0.0020667986552610814,0.02150909729450342,1887,60,0.09284575255323624,ok,1887,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,partner,top_5pct_share,partner_top_5pct_share,average_log_population,-0.011682043981747655,0.0060015535599526985,-1.9465033286880684,0.056360820025980064,-0.02369112491656219,0.00032703695306688166,1887,60,0.08505063661648204,ok,1887,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,partner,top_5pct_share,partner_top_5pct_share,log_gdp_per_capita,0.009513528384621193,0.005990511807612981,1.5880994295898092,0.11760901016552701,-0.0024734580547955756,0.02150051482403796,1887,60,0.08505063661648204,ok,1887,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
