country,iso3,reporter_code,horizon,base_year,future_year,total_base_exports,total_future_exports,total_growth,total_gross_positive_growth,total_gross_contraction,existing_product_partner_cell_contraction_gross_positive_share,existing_product_partner_cell_growth_gross_positive_share,existing_product_partner_cell_no_change_gross_positive_share,net_new_partner_existing_product_gross_positive_share,net_new_product_gross_positive_share,new_product_partner_cell_existing_product_partner_gross_positive_share,existing_product_partner_cell_contraction_net_contribution,existing_product_partner_cell_growth_net_contribution,existing_product_partner_cell_no_change_net_contribution,net_new_partner_existing_product_net_contribution,net_new_product_net_contribution,new_product_partner_cell_existing_product_partner_net_contribution
Finland,FIN,246,5,2020,2025,59375833525.092995,80069480544.85802,20693647019.765022,46638154339.603,25944507319.838,0.0,0.5491921387167619,0.0,0.0007293231208147664,0.37330883835512013,0.07676969980730326,-25944507319.838,25613307727.569,0.0,34014284.272,17410435219.544,3580397108.218
France,FRA,251,5,2019,2024,531067994670.36005,644263935532.759,113195940862.39899,329182051430.618,215986110568.219,0.0,0.5386117117627356,0.0,1.5853891326453365e-06,0.4135999654624803,0.0477867373856516,-215986110568.219,177301308202.614,0.0,521881.647,136149685102.572,15730536243.785
Georgia,GEO,268,5,2019,2024,3682118843.02,6550108704.081999,2867989861.061999,4832450276.283,1964460415.221,0.0,0.8156718402892397,0.0,0.0027779682263643917,0.07212391669513145,0.10942627478926435,-1964460415.221,3941693609.9619994,0.0,13424393.323,348535241.16,528797031.838
Germany,DEU,276,5,2020,2025,1338950409601.7048,1700081716654.905,361131307053.2002,846357554792.533,485226247739.333,0.0,0.4950807326687891,0.0,0.00039456861536240435,0.4858765291245523,0.018648169591296292,-485226247739.333,419015318326.452,0.0,333946128.496,411225271120.939,15783019216.646
Greece,GRC,300,5,2019,2024,33840513168.769997,51739864856.453,17899351687.683006,30294271024.532997,12394919336.85,0.0,0.5940951745792484,0.0,1.5133540022426316e-05,0.3262128933412532,0.07967679853947597,-12394919336.85,17997680233.071,0.0,458459.563,9882381802.577,2413750529.322
Guyana,GUY,328,5,2020,2025,5195921811.127,24374582581.576,19178660770.449,21160592258.14,1981931487.6909997,0.0,0.7268864885221794,0.0,0.020486512576000315,0.004188074075379865,0.24843892482644042,-1981931487.6909997,15381348601.568998,0.0,433506739.412,88622127.856,5257114789.303
Hungary,HUN,348,5,2020,2025,114184913119.0,154698295476.449,40513382357.449005,86199953177.18,45686570819.731,0.0,0.623814441468043,0.0,5.7332326501870116e-05,0.34893142331052474,0.027196802894930473,-45686570819.731,53772775645.794,0.0,4942043.859999999,30077872351.414,2344363136.112
Iceland,ISL,352,5,2020,2025,4545432326.702,7109127883.870001,2563695557.168001,4131650655.039,1567955097.871,0.0,0.6466998685300945,0.0,0.0006349350071019587,0.3113502381896945,0.04131495827310906,-1567955097.871,2671937935.426,0.0,2623329.638,1286390415.563,170698974.412
India,IND,699,5,2019,2024,309653810485.443,428574665942.985,118920855457.54199,238135261418.008,119214405960.466,0.0,0.6058687584225632,0.0,2.4541266863211635e-07,0.325125125092903,0.0690058710718653,-119214405960.466,144278715171.961,0.0,58441.409999999996,77423756657.561,16432731147.076
Ireland,IRL,372,5,2019,2024,169666016129.23798,241995087870.668,72329071741.43002,191390115516.039,119061043774.609,0.0,0.18904172479564108,0.0,1.7510472319659316e-06,0.7880550709777036,0.02290145317942338,-119061043774.609,36180717545.989,0.0,335133.132,150825951067.423,4383111769.495
Italy,ITA,380,5,2020,2025,470541764322.7261,699622115360.9668,229080351038.24072,386964219230.777,157883868192.536,0.0,0.5000802267400646,0.0,6.262437531865894e-07,0.4764672236463789,0.02345192336980344,-157883868192.536,193513154493.219,0.0,242333.925,184375767187.377,9075055216.256
Japan,JPN,392,5,2020,2025,600218860752.166,639063474470.572,38844613718.406006,276935183427.831,238090569709.425,0.0,0.48371758859498404,0.0,0.00010634764471764925,0.5041351754440508,0.012040888316247398,-238090569709.425,133958419124.81999,0.0,29451404.496999998,139612767284.02,3334545614.494
Korea,KOR,410,5,2020,2025,511518299843.0,708976964820.0,197458664977.0,460808648239.0,263349983262.0,0.0,0.430150246935457,0.0,4.9907917500871224e-08,0.5363837000988843,0.03346600305774128,-263349983262.0,198216953830.0,0.0,22998.0,247170247780.0,15421423631.0
Kyrgyzstan,KGZ,417,5,2020,2025,1858639250.0,2604988322.0,746349072.0,1927629692.0,1181280620.0,0.0,0.3375578456279558,0.0,0.0014281752410358701,0.16359813158553485,0.49741584754547347,-1181280620.0,650686526.0,0.0,2752993.0,315356616.0,958833557.0
Luxembourg,LUX,442,5,2020,2025,12516491575.915,16337964204.453,3821472628.537998,8732649445.331999,4911176816.794,0.0,0.5402821164220714,0.0,0.00036025157195353295,0.4091749750470093,0.050182656958965954,-4911176816.794,4718094324.296,0.0,3145950.69,3573181618.888,438227551.458
Mauritania,MRT,478,5,2019,2024,2264863618.99,4149547480.4069996,1884683861.4169998,3859447840.783,1974763979.3660002,0.0,0.014432880615041315,0.0,0.0001411373863494135,0.982802832463585,0.0026231495350241794,-1974763979.3660002,55702949.92600002,0.0,544712.381,3793076269.667,10123908.809
Mexico,MEX,484,5,2020,2025,383701820488.0,591427761790.0,207725941302.0,292304362556.0,84578421254.0,0.0,0.6829587626211165,0.0,0.03046289029741757,0.27266515506326305,0.013913192018202812,-84578421254.0,199631825760.0,0.0,8904435730.0,79701214342.0,4066886724.0
Morocco,MAR,504,5,2019,2024,29582399076.022003,80525530850.752,50943131774.729996,57821926750.355,6878794975.625,0.0,0.8029878406645786,0.0,0.0014801607642290222,0.07343179245008351,0.12210020612110879,-6878794975.625,46430304104.333,0.0,85585747.288,4245967724.196,7060069174.538
Mozambique,MOZ,508,5,2019,2024,4752618569.736,8191933249.9,3439314680.1639996,5100606006.632999,1661291326.469,0.0,0.43980667566084547,0.0,0.019481534168837782,0.3125354294620978,0.22817636070821906,-1661291326.469,2243280571.633,0.0,99367630.2,1594120088.8,1163837716.0
Netherlands,NLD,528,5,2020,2025,487953442771.55505,722572350104.6332,234618907333.07812,451437870791.94403,216818963458.866,0.0,0.4678328410348817,0.0,1.6767744333723896e-07,0.5114216232639714,0.02074536802370353,-216818963458.866,211197461643.333,0.0,75695.948,230875088683.247,9365244769.416
New Zealand,NZL,554,5,2020,2025,29195585762.810997,46912296018.22,17716710255.409004,27112095696.71,9395385441.301,0.0,0.346886545707319,0.0,0.00014032869662899876,0.17586665414896724,0.4771064714470848,-9395385441.301,9404821223.118,0.0,3804605.052,4768113557.147,12935356311.393
Niger,NER,562,5,2019,2024,695923142.1949999,1007786657.4239999,311863515.229,921684603.549,609821088.32,0.0,0.11369989272087118,0.0,0.004204606316605325,0.8330543994762307,0.04904110148629273,-609821088.32,104795440.54599999,0.0,3875320.906,767813413.916,45200428.180999994
North Macedonia,MKD,807,5,2019,2024,7189840814.657001,8413033233.21,1223192418.5529995,3912324718.0099998,2689132299.457,0.0,0.6026514300682272,0.0,0.00023344566615231185,0.2793376302915577,0.11777749397406287,-2689132299.457,2357768086.2,0.0,913315.25,1092859515.66,460783800.9
Norway,NOR,579,5,2020,2025,77391932727.60199,169757780099.77197,92365847372.16998,116256991778.934,23891144406.764,0.0,0.7352034229575067,0.0,2.521677333243381e-06,0.15679795322906426,0.10799610213609573,-23891144406.764,85472538298.615,0.0,293162.621,18228858359.505,12555301958.192999
