country,iso3,reporter_code,horizon,base_year,future_year,total_base_exports,total_future_exports,total_growth,total_gross_positive_growth,total_gross_contraction,existing_product_partner_cell_contraction_gross_positive_share,existing_product_partner_cell_growth_gross_positive_share,existing_product_partner_cell_no_change_gross_positive_share,net_new_partner_existing_product_gross_positive_share,net_new_product_gross_positive_share,new_product_partner_cell_existing_product_partner_gross_positive_share,existing_product_partner_cell_contraction_net_contribution,existing_product_partner_cell_growth_net_contribution,existing_product_partner_cell_no_change_net_contribution,net_new_partner_existing_product_net_contribution,net_new_product_net_contribution,new_product_partner_cell_existing_product_partner_net_contribution
Netherlands,NLD,528,10,2015,2025,394949409888.416,722572350104.6332,327622940216.21716,502326142078.116,174703201861.899,0.0,0.5087916817375916,0.0,1.028081751555925e-07,0.38215407393266754,0.10905414152156573,-174703201861.899,255579362608.681,0.0,51643.234,191965981638.032,54780746188.169
New Zealand,NZL,554,10,2015,2025,17056878558.580002,46912296018.22,29855417459.64,38438983988.339,8583566528.699,0.0,0.2023499136925056,0.0,6.602702664487546e-06,0.7375889110578996,0.06005457254693039,-8583566528.699,7778125092.468,0.0,253801.182,28352168342.131,2308436752.558
Niger,NER,562,10,2014,2024,1022624773.0,1007786657.4239999,-14838115.576000094,956707916.3059999,971546031.882,0.0,0.11860285171060247,0.0,0.001982493467100524,0.021627364595133158,0.8577872902271638,-971546031.882,113468287.12799999,0.0,1896667.194,20691070.917,820651891.0669999
North Macedonia,MKD,807,10,2014,2024,4960799185.0,8413033233.21,3452234048.21,5812909388.2,2360675339.99,0.0,0.6328544538175123,0.0,0.0007030808493757626,0.1250912877819973,0.24135117755111474,-2360675339.99,3678725595.96,0.0,4086945.27,727144321.13,1402952525.84
Norway,NOR,579,10,2015,2025,99617752854.89201,169757780099.77197,70140027244.87996,98074037986.63498,27934010741.755,0.0,0.7082077485793253,0.0,1.7935649700073637e-06,0.18518570596810757,0.10660475188759716,-27934010741.755,69456793636.59799,0.0,175902.159,18161909961.697998,10455158486.18
Panama,PAN,591,10,2015,2025,12042760998.0,1670499364.0,-10372261634.0,1391432054.0,11763693688.0,0.0,0.318880064408808,0.0,0.006699701917316905,0.5212964067593631,0.15312382691451207,-11763693688.0,443699943.0,0.0,9322180.0,725348530.0,213061401.0
Peru,PER,604,10,2014,2024,35577631985.23,74053783276.54,38476151291.30999,49282184204.47699,10806032913.167,0.0,0.7719943832096384,0.0,0.0003317880243732093,0.03494926825446045,0.1927245605115281,-10806032913.167,38045569398.159,0.0,16351238.534000002,1722376275.928,9497887291.855999
Poland,POL,616,10,2014,2024,204030509989.0,379704654454.0,175674144465.0,253252340080.0,77578195615.0,0.0,0.6710246969418645,0.0,4.840207990231338e-06,0.19604290349821277,0.1329275593519325,-77578195615.0,169938574752.0,0.0,1225794.0,49648324067.0,33664215467.0
Russia,RUS,643,10,2011,2021,460968857496.0,417826891022.18304,-43141966473.816956,220765977196.974,263907943670.791,0.0,0.5018502095784286,0.0,0.1569765999782235,0.1887892429595002,0.15238394748384768,-263907943670.791,110791451924.088,0.0,34655092491.251,41678241706.231,33641191075.404
Rwanda,RWA,646,10,2012,2022,387130823.81799996,2019269801.94,1632138978.1220002,1919318004.593,287179026.471,0.0,0.24212683331314117,0.0,0.015753002601781706,0.5308784285207951,0.21124173556428205,-287179026.471,464718390.573,0.0,30235021.52,1018924526.11,405440066.39
Senegal,SEN,686,10,2014,2024,2748615446.0,6305879310.250999,3557263864.2509995,4837529914.830001,1280266050.579,0.0,0.5773520021077015,0.0,0.00015329740881324565,0.2934281152603234,0.12906658522316158,-1280266050.579,2792957581.583,0.0,741580.801,1419467285.424,624363467.022
Singapore,SGP,702,10,2014,2024,382822383610.05804,470216803889.966,87394420279.90796,323027402488.7341,235632982208.826,0.0,0.31956201741773027,0.0,3.781623758815952e-08,0.6521354135739333,0.02830253119209865,-235632982208.826,103227288420.509,0.0,12215.681,210657608717.704,9142493134.84
Slovakia,SVK,703,10,2015,2025,74939091833.233,129537169317.17302,54598077483.94002,83663136578.84401,29065059094.904,0.0,0.730940538482486,0.0,0.00018857259084629444,0.2073160168669552,0.06155487205971255,-29065059094.904,61152778102.074005,0.0,15776574.423000002,17344708234.122,5149873668.225
Slovenia,SVN,705,10,2015,2025,26498652239.0,80494567523.319,53995915284.319,65644713071.281,11648797786.962,0.0,0.3412050808244917,0.0,5.673410783220176e-06,0.6291188878033297,0.02967035796139542,-11648797786.962,22398309629.187,0.0,372429.423,41298328877.573,1947702135.098
South Africa,ZAF,710,10,2015,2025,79708508696.93399,113479288210.96599,33770779514.031998,67737984398.171,33967204884.139,0.0,0.8214524460642121,0.0,1.8886632490862007e-05,0.08349301262339759,0.09503565467989952,-33967204884.139,55643532975.337,0.0,1279342.4170000001,5655648386.44,6437523693.977
Spain,ESP,724,10,2015,2025,242670650167.38803,432101131252.323,189430481084.93497,280433727183.25903,91003246098.324,0.0,0.5702604218226099,0.0,1.3819144504924393e-06,0.3850417600601607,0.04469643620277875,-91003246098.324,159920255556.812,0.0,387535.42000000004,107978695894.873,12534388196.154
Sweden,SWE,752,10,2015,2025,129347973705.81099,206020136012.18604,76672162306.37505,135103941892.31902,58431779585.944,0.0,0.5213586530617103,0.0,2.2429705288800921e-07,0.3928089709038398,0.08583215173739706,-58431779585.944,70437609168.307,0.0,30303.416,53070040379.774,11596262040.822
Switzerland,CHE,757,10,2015,2025,283500233969.849,548429849047.84784,264929615077.99884,412000918130.03204,147071303052.033,0.0,0.5601937014121504,0.0,8.097504697664448e-07,0.42370927326039165,0.016096215576988048,-147071303052.033,230800319312.467,0.0,333617.93700000003,174568609603.49,6631655596.138
Turkey,TUR,792,10,2015,2025,148082915028.0,263581474950.0,115498559922.0,173482829722.0,57984269800.0,0.0,0.7637492968400521,0.0,6.591255756159668e-05,0.11885211746915178,0.11733267313323448,-57984269800.0,132497389214.0,0.0,11434697.0,20618801657.0,20355204154.0
Uganda,UGA,800,10,2014,2024,2224427644.0,8039344375.93,5814916731.93,6942118709.1,1127201977.17,0.0,0.7502407340042758,0.0,0.0025839080346589925,0.022640565486725377,0.22453479247433977,-1127201977.17,5208260235.86,0.0,17937796.310000002,157173493.25,1558747183.68
United Arab Emirates,ARE,784,10,2013,2023,231025691745.139,551400163099.877,320374471354.7379,380623147303.76605,60248675949.028,0.0,0.7083625384321399,0.0,0.0035515345311071277,0.1359949005045885,0.1520910265321644,-60248675949.028,269619178810.12604,0.0,1351796250.988,51762807047.319,57889365195.333
United Kingdom,GBR,826,10,2015,2025,450589884369.0,539421581994.9211,88831697625.92108,299655788642.63696,210824091016.716,0.0,0.6242469152291023,0.0,0.023267562308752748,0.2674285708079115,0.08505695165423355,-210824091016.716,187059201690.71,0.0,6972259733.421,80136519291.018,25487807927.488
United States,USA,842,10,2015,2025,1295095571508.0,1936867520411.0,641771948903.0,1185477583078.0,543705634175.0,0.0,0.5281986453790248,0.0,0.0,0.4001378405826753,0.07166351403829982,-543705634175.0,626167653509.0,0.0,0.0,474354440152.0,84955489417.0
Zimbabwe,ZWE,716,10,2014,2024,3805838312.5699997,7422001438.788,3616163126.2180004,6690703660.556999,3074540534.339,0.0,0.3808321782194844,0.0,0.009244113001987452,0.021987679769507662,0.5879360290090205,-3074540534.339,2548035248.871,0.0,61849620.701,147113049.521,3933705741.4639997
