country,iso3,reporter_code,year,flow,variant,world_relative_product_gini,world_weighted_share_gini,world_weighted_product_coverage,weighted_mean_relative_export_intensity,world_weighted_mean_country_share,country_total_exports,world_total_exports,leave_one_out_world_exports,country_active_products,world_benchmark_products,zero_weight_country_export_share,missing_benchmark_product_count,negative_leave_one_out_product_count,metric_valid,invalid_reason,active_product_gini,active_product_count,active_product_total_exports,world_relative_minus_active_product_gini
Armenia,ARM,51,2024,Exports,world_relative,0.9381745538388941,0.9719915484885554,0.793235258241251,1.0,0.008680727649671609,13070809687.664,20562489519169.527,20549418709481.867,3041,5800,0.0,0,0,True,,0.9780411865320212,3041.0,13070809687.664,-0.03986663269312707
Hungary,HUN,348,2024,Exports,world_relative,0.7081940453191652,0.8044151007298491,0.9505786460467791,1.0,0.003069442163613368,148025178761.343,20562489519169.527,20414464340408.188,4632,5800,0.0,0,0,True,,0.924598924408842,4632.0,148025178761.34302,-0.21640487908967676
Canada,CAN,124,2024,Exports,world_relative,0.702635652411745,0.9072200400197495,0.9871503266702836,0.9999999999999999,0.01015517097213078,529357830205.096,20562489519169.527,20033131688964.434,5162,5800,0.0,0,0,True,,0.9296626138016996,5162.0,529357830205.09607,-0.2270269613899546
China,CHN,156,2024,Exports,world_relative,0.6973753262719858,0.7769987048659555,0.9889469481198571,1.0,0.002283905890011976,3479639306679.0,20562489519169.527,17082850212490.527,5227,5800,0.0,0,0,True,,0.8498748708596133,5227.0,3479639306679.0,-0.1524995445876275
Sweden,SWE,752,2024,Exports,world_relative,0.6942172512479796,0.8172797980650496,0.9912995612306001,0.9999999763409312,0.0030947038003126272,187984660379.217,20562489519169.527,20374504858790.312,5115,5799,2.365906872948079e-08,0,0,True,,0.9050556161250444,5115.0,187984660379.21695,-0.21083836487706475
Austria,AUT,40,2024,Exports,world_relative,0.6899687777694637,0.7672245212787513,0.9332518461723807,0.9999999999999999,0.0020742627928480133,196833236914.601,20562489519169.527,20365656282254.93,5022,5800,0.0,0,0,True,,0.8815677137703399,5022.0,196833236914.60095,-0.19159893600087619
Czech Republic,CZE,203,2024,Exports,world_relative,0.6812436622505562,0.8177766329788222,0.9829074501774928,1.0,0.0028815158493940766,258705155452.0,20562489519169.527,20303784363717.527,5152,5800,0.0,0,0,True,,0.907533293923838,5152.0,258705155452.0,-0.22628963167328175
Belgium,BEL,56,2024,Exports,world_relative,0.6794289330855289,0.8536801609464083,0.9976080866396322,1.0,0.004129856211911214,361569942857.322,20562489519169.527,20200919576312.207,5365,5800,0.0,0,0,True,,0.8995614438273105,5365.0,361569942857.3219,-0.22013251074178164
United Kingdom,GBR,826,2024,Exports,world_relative,0.6740866113039475,0.8361983617254992,0.9937563550267953,0.9999999999999999,0.004608453781603395,494267654806.1271,20562489519169.527,20068221864363.402,5276,5800,0.0,0,0,True,,0.911060005666716,5276.0,494267654806.12695,-0.23697339436276843
Poland,POL,616,2024,Exports,world_relative,0.6656750736291805,0.7012893498801713,0.9828057672446,1.0,0.0015479800977532994,378603002972.0,20562489519169.527,20183886516197.527,5208,5800,0.0,0,0,True,,0.8711648496283213,5211.0,379704654454.0,-0.20548977599914076
