classification_code,cmd_code,hs_desc_official,bec5_label,bec5_end_use,exercise_03_bin,mapping_status,bec5_primary_flag,primary_strict,primary_broad,primary_strict_rule,primary_broad_rule,primary_mapping_source
H5,160569,"Aquatic invertebrates; other than crustaceans, molluscs, sea cucumbers, sea urchins, and jellyfish, prepared or preserved","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,170112,"Sugars; beet sugar, raw, in solid form, not containing added flavouring or colouring matter","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Processed|Generic",Intermediate Consumption,intermediates,mapped,False,True,True,strict_raw_sugar_hs170111_170114,strict_raw_sugar_hs170111_170114,bec5_audit_mapping
H5,170113,"Sugars; cane sugar, raw, in solid form, as specified in Subheading Note 2 to this chapter, not containing added flavouring or colouring matter","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Processed|Generic",Intermediate Consumption,intermediates,mapped,False,True,True,strict_raw_sugar_hs170111_170114,strict_raw_sugar_hs170111_170114,bec5_audit_mapping
H5,170114,"Sugars; cane sugar, raw, in solid form, other than as specified in Subheading Note 2 to this chapter, not containing added flavouring or colouring matter","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Processed|Generic",Intermediate Consumption,intermediates,mapped,False,True,True,strict_raw_sugar_hs170111_170114,strict_raw_sugar_hs170111_170114,bec5_audit_mapping
H5,170191,"Sugars; sucrose, chemically pure, in solid form, containing added flavouring or colouring matter","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Processed|Generic",Intermediate Consumption,intermediates,mapped,False,False,True,not_primary_strict,broad_sugar_hs1701,bec5_audit_mapping
H5,170199,"Sugars; sucrose, chemically pure, in solid form, not containing added flavouring or colouring matter","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,True,not_primary_strict,broad_sugar_hs1701,bec5_audit_mapping
H5,170211,"Sugars; lactose and lactose syrup, containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Processed|Generic",Intermediate Consumption,intermediates,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,170219,"Sugars; lactose and lactose syrup, containing by weight less than 99% lactose, expressed as anhydrous lactose, calculated on the dry matter","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Processed|Generic",Intermediate Consumption,intermediates,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,170220,"Sugars; maple sugar, chemically pure, in solid form; maple syrup, not containing added flavouring or colouring matter","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,170230,"Sugars; glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose, the syrup not containing added flavouring or colouring matter","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Processed|Generic",Intermediate Consumption,intermediates,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,170240,"Sugars; glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar, the syrup not containing added flavouring or colouring matter","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Processed|Generic",Intermediate Consumption,intermediates,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,170250,"Sugars; fructose, chemically pure, in solid form","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Processed|Generic",Intermediate Consumption,intermediates,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,170260,"Sugars; fructose, other than chemically pure fructose, and fructose syrup (containing in the dry state more than 50% by weight of fructose), excluding invert sugar","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Processed|Generic",Intermediate Consumption,intermediates,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,170290,"Sugars; n.e.c. in heading no. 1702, including invert sugar and other sugar and sugar syrup blends containing, in the dry state, 50% by weight of fructose","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Processed|Generic",Intermediate Consumption,intermediates,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
