country_sample,year,flow,observed_hs6_codes,active_country_year_hs6_products,reporters_with_trade,reporter_year_flow_observations,trade_value,product_universe,excluded_hs6_codes,source_note,flow_order
rd2_countries,2011,Any flow,5463,466830,59,118,28065042082564.605,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2011,Exports,5313,204139,59,59,13461064750515.678,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2011,Imports,5460,262691,59,59,14603977332048.896,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2012,Any flow,5780,484061,60,120,28694459051966.203,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2012,Exports,5619,210871,60,60,13808573416693.752,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2012,Imports,5774,273190,60,60,14885885635272.533,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2013,Any flow,5781,485904,60,120,29293470086281.21,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2013,Exports,5590,212026,60,60,14243997291391.371,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2013,Imports,5770,273878,60,60,15049472794889.81,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2014,Any flow,5733,483167,60,120,29385699187947.914,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
